timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1582889647718;VielberthGebaeude.1.148;721.00;856.00;0.329;0.087;0.000;0.940;0.000
1582889647726;VielberthGebaeude.1.148;721.00;856.00;0.329;0.087;0.000;0.940;0.000
1582889647736;VielberthGebaeude.1.148;721.00;856.00;0.216;0.063;-0.002;0.974;0.000
1582889647748;VielberthGebaeude.1.148;721.00;856.00;0.216;0.070;-0.004;0.974;0.000
1582889647757;VielberthGebaeude.1.148;721.00;856.00;0.211;0.076;-0.005;0.974;0.000
1582889647766;VielberthGebaeude.1.148;721.00;856.00;0.209;0.075;-0.005;0.975;0.000
1582889647775;VielberthGebaeude.1.148;721.00;856.00;0.205;0.074;-0.005;0.976;0.000
1582889647785;VielberthGebaeude.1.148;721.00;856.00;0.205;0.079;-0.007;0.976;0.000
1582889647795;VielberthGebaeude.1.148;721.00;856.00;0.209;0.072;-0.005;0.975;0.000
1582889647805;VielberthGebaeude.1.148;721.00;856.00;0.223;0.058;-0.001;0.973;0.000
1582889647815;VielberthGebaeude.1.148;721.00;856.00;0.233;0.043;0.003;0.972;0.000
1582889647826;VielberthGebaeude.1.148;721.00;856.00;0.244;0.032;0.007;0.969;0.000
1582889647835;VielberthGebaeude.1.148;721.00;856.00;0.251;0.022;0.009;0.968;0.000
1582889647845;VielberthGebaeude.1.148;721.00;856.00;0.251;0.008;0.013;0.968;0.000
1582889647855;VielberthGebaeude.1.148;721.00;856.00;0.248;0.001;0.015;0.969;0.000
1582889647865;VielberthGebaeude.1.148;721.00;856.00;0.238;0.006;0.013;0.971;0.000
1582889647875;VielberthGebaeude.1.148;721.00;856.00;0.221;0.016;0.011;0.975;0.000
1582889647885;VielberthGebaeude.1.148;721.00;856.00;0.207;0.028;0.008;0.978;0.000
1582889647895;VielberthGebaeude.1.148;721.00;856.00;0.201;0.035;0.006;0.979;0.000
1582889647906;VielberthGebaeude.1.148;721.00;856.00;0.198;0.048;0.004;0.979;0.000
1582889647915;VielberthGebaeude.1.148;721.00;856.00;0.200;0.062;0.001;0.978;0.000
1582889647925;VielberthGebaeude.1.148;721.00;856.00;0.203;0.078;-0.002;0.976;0.000
1582889647935;VielberthGebaeude.1.148;721.00;856.00;0.202;0.089;-0.005;0.975;0.000
1582889647945;VielberthGebaeude.1.148;721.00;856.00;0.208;0.089;-0.004;0.974;0.000
1582889647955;VielberthGebaeude.1.148;721.00;856.00;0.214;0.085;-0.003;0.973;0.000
1582889647965;VielberthGebaeude.1.148;721.00;856.00;0.213;0.089;-0.004;0.973;0.000
1582889647975;VielberthGebaeude.1.148;721.00;856.00;0.205;0.093;-0.005;0.974;0.000
1582889647985;VielberthGebaeude.1.148;721.00;856.00;0.200;0.089;-0.005;0.976;0.000
1582889647995;VielberthGebaeude.1.148;721.00;856.00;0.199;0.078;-0.003;0.977;0.000
1582889648005;VielberthGebaeude.1.148;721.00;856.00;0.198;0.067;-0.001;0.978;0.000
1582889648015;VielberthGebaeude.1.148;721.00;856.00;0.196;0.063;0.000;0.979;0.000
1582889648025;VielberthGebaeude.1.148;721.00;856.00;0.192;0.058;0.001;0.980;0.000
1582889648035;VielberthGebaeude.1.148;721.00;856.00;0.084;-0.177;-0.966;0.168;0.000
1582889648046;VielberthGebaeude.1.148;721.00;856.00;0.083;-0.178;-0.966;0.169;0.000
1582889648056;VielberthGebaeude.1.148;721.00;856.00;0.090;-0.178;-0.965;0.169;0.000
1582889648066;VielberthGebaeude.1.148;721.00;856.00;0.095;-0.182;-0.964;0.168;0.000
1582889648076;VielberthGebaeude.1.148;721.00;856.00;0.094;-0.191;-0.962;0.171;0.000
1582889648086;VielberthGebaeude.1.148;721.00;856.00;0.089;-0.204;-0.960;0.173;0.000
1582889648097;VielberthGebaeude.1.148;721.00;856.00;0.094;-0.213;-0.957;0.175;0.000
1582889648106;VielberthGebaeude.1.148;721.00;856.00;0.101;-0.216;-0.956;0.174;0.000
1582889648116;VielberthGebaeude.1.148;721.00;856.00;0.103;-0.215;-0.955;0.177;0.000
1582889648126;VielberthGebaeude.1.148;721.00;856.00;0.101;-0.211;-0.956;0.177;0.000
1582889648136;VielberthGebaeude.1.148;721.00;856.00;0.100;-0.208;-0.957;0.178;0.000
1582889648146;VielberthGebaeude.1.148;721.00;856.00;0.102;-0.207;-0.956;0.182;0.000
1582889648156;VielberthGebaeude.1.148;721.00;856.00;0.104;-0.206;-0.955;0.185;0.000
1582889648166;VielberthGebaeude.1.148;721.00;856.00;0.104;-0.208;-0.954;0.190;0.000
1582889648176;VielberthGebaeude.1.148;721.00;856.00;0.098;-0.211;-0.954;0.189;0.000
1582889648186;VielberthGebaeude.1.148;721.00;856.00;0.091;-0.210;-0.954;0.195;0.000
1582889648196;VielberthGebaeude.1.148;721.00;856.00;0.082;-0.211;-0.955;0.193;0.000
1582889648206;VielberthGebaeude.1.148;721.00;856.00;0.074;-0.215;-0.953;0.199;0.000
1582889648217;VielberthGebaeude.1.148;721.00;856.00;0.072;-0.224;-0.953;0.193;0.000
1582889648228;VielberthGebaeude.1.148;721.00;856.00;0.079;-0.238;-0.948;0.196;0.000
1582889648238;VielberthGebaeude.1.148;721.00;856.00;0.083;-0.253;-0.944;0.195;0.000
1582889648247;VielberthGebaeude.1.148;721.00;856.00;0.089;-0.270;-0.938;0.198;0.000
1582889648257;VielberthGebaeude.1.148;721.00;856.00;0.095;-0.278;-0.935;0.196;0.000
1582889648267;VielberthGebaeude.1.148;721.00;856.00;0.100;-0.288;-0.932;0.198;0.000
1582889648277;VielberthGebaeude.1.148;721.00;856.00;0.097;-0.292;-0.930;0.201;0.000
1582889648287;VielberthGebaeude.1.148;721.00;856.00;0.093;-0.291;-0.930;0.205;0.000
1582889648297;VielberthGebaeude.1.148;721.00;856.00;0.094;-0.278;-0.935;0.201;0.000
1582889648307;VielberthGebaeude.1.148;721.00;856.00;0.097;-0.256;-0.940;0.202;0.000
1582889648317;VielberthGebaeude.1.148;721.00;856.00;0.100;-0.230;-0.948;0.195;0.000
1582889648328;VielberthGebaeude.1.148;721.00;856.00;0.107;-0.203;-0.954;0.194;0.000
1582889648338;VielberthGebaeude.1.148;721.00;856.00;0.105;-0.194;-0.956;0.194;0.000
1582889648349;VielberthGebaeude.1.148;721.00;856.00;0.095;-0.201;-0.954;0.199;0.000
1582889648360;VielberthGebaeude.1.148;721.00;856.00;0.086;-0.214;-0.952;0.199;0.000
1582889648370;VielberthGebaeude.1.148;721.00;856.00;0.071;-0.234;-0.948;0.205;0.000
1582889648380;VielberthGebaeude.1.148;721.00;856.00;0.059;-0.247;-0.945;0.205;0.000
1582889648390;VielberthGebaeude.1.148;721.00;856.00;0.055;-0.250;-0.944;0.207;0.000
1582889648399;VielberthGebaeude.1.148;721.00;856.00;0.053;-0.242;-0.947;0.206;0.000
1582889648409;VielberthGebaeude.1.148;721.00;856.00;0.055;-0.223;-0.951;0.206;0.000
1582889648419;VielberthGebaeude.1.148;721.00;856.00;0.055;-0.203;-0.956;0.203;0.000
1582889648429;VielberthGebaeude.1.148;721.00;856.00;0.051;-0.179;-0.961;0.204;0.000
1582889648439;VielberthGebaeude.1.148;721.00;856.00;0.050;-0.164;-0.964;0.202;0.000
1582889648450;VielberthGebaeude.1.148;721.00;856.00;0.053;-0.161;-0.964;0.203;0.000
1582889648459;VielberthGebaeude.1.148;721.00;856.00;0.058;-0.168;-0.963;0.203;0.000
1582889648470;VielberthGebaeude.1.148;721.00;856.00;0.060;-0.190;-0.958;0.205;0.000
1582889648481;VielberthGebaeude.1.148;721.00;856.00;0.057;-0.217;-0.953;0.205;0.000
1582889648492;VielberthGebaeude.1.148;721.00;856.00;0.060;-0.250;-0.944;0.207;0.000
1582889648501;VielberthGebaeude.1.148;721.00;856.00;0.063;-0.276;-0.937;0.206;0.000
1582889648512;VielberthGebaeude.1.148;721.00;856.00;0.060;-0.291;-0.932;0.208;0.000
1582889648522;VielberthGebaeude.1.148;721.00;856.00;0.065;-0.283;-0.934;0.207;0.000
1582889648531;VielberthGebaeude.1.148;721.00;856.00;0.059;-0.259;-0.941;0.209;0.000
1582889648542;VielberthGebaeude.1.148;721.00;856.00;0.051;-0.227;-0.950;0.209;0.000
1582889648553;VielberthGebaeude.1.148;721.00;856.00;0.042;-0.190;-0.958;0.210;0.000
1582889648562;VielberthGebaeude.1.148;721.00;856.00;0.036;-0.170;-0.962;0.210;0.000
1582889648572;VielberthGebaeude.1.148;721.00;856.00;0.019;-0.162;-0.963;0.213;0.000
1582889648582;VielberthGebaeude.1.148;721.00;856.00;0.000;-0.169;-0.962;0.216;0.000
1582889648592;VielberthGebaeude.1.148;721.00;856.00;-0.005;-0.177;-0.960;0.217;0.000
1582889648602;VielberthGebaeude.1.148;721.00;856.00;-0.003;-0.181;-0.959;0.217;0.000
1582889648613;VielberthGebaeude.1.148;721.00;856.00;-0.005;-0.177;-0.960;0.218;0.000
1582889648622;VielberthGebaeude.1.148;721.00;856.00;-0.003;-0.172;-0.961;0.217;0.000
1582889648633;VielberthGebaeude.1.148;721.00;856.00;-0.005;-0.165;-0.962;0.218;0.000
1582889648644;VielberthGebaeude.1.148;721.00;856.00;-0.008;-0.167;-0.962;0.217;0.000
1582889648653;VielberthGebaeude.1.148;721.00;856.00;-0.009;-0.172;-0.961;0.217;0.000
1582889648663;VielberthGebaeude.1.148;721.00;856.00;-0.029;-0.181;-0.958;0.220;0.000
1582889648673;VielberthGebaeude.1.148;721.00;856.00;-0.049;-0.198;-0.953;0.222;0.000
1582889648683;VielberthGebaeude.1.148;721.00;856.00;-0.054;-0.212;-0.951;0.218;0.000
1582889648693;VielberthGebaeude.1.148;721.00;856.00;-0.037;-0.222;-0.951;0.214;0.000
1582889648704;VielberthGebaeude.1.148;721.00;856.00;-0.014;-0.229;-0.950;0.211;0.000
1582889648715;VielberthGebaeude.1.148;721.00;856.00;0.001;-0.237;-0.949;0.209;0.000
1582889648724;VielberthGebaeude.1.148;721.00;856.00;0.008;-0.236;-0.947;0.215;0.000
1582889648735;VielberthGebaeude.1.148;721.00;856.00;0.015;-0.236;-0.947;0.216;0.000
1582889648744;VielberthGebaeude.1.148;721.00;856.00;0.021;-0.235;-0.948;0.215;0.000
1582889648755;VielberthGebaeude.1.148;721.00;856.00;0.027;-0.234;-0.948;0.215;0.000
1582889648764;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.233;-0.948;0.213;0.000
1582889648774;VielberthGebaeude.1.148;721.00;856.00;0.036;-0.233;-0.948;0.212;0.000
1582889648784;VielberthGebaeude.1.148;721.00;856.00;0.045;-0.231;-0.948;0.213;0.000
1582889648794;VielberthGebaeude.1.148;721.00;856.00;0.045;-0.231;-0.948;0.213;0.000
1582889648804;VielberthGebaeude.1.148;721.00;856.00;0.049;-0.229;-0.949;0.211;0.000
1582889648814;VielberthGebaeude.1.148;721.00;856.00;0.052;-0.226;-0.949;0.213;0.000
1582889648825;VielberthGebaeude.1.148;721.00;856.00;0.055;-0.223;-0.950;0.211;0.000
1582889648834;VielberthGebaeude.1.148;721.00;856.00;0.058;-0.220;-0.950;0.214;0.000
1582889648844;VielberthGebaeude.1.148;721.00;856.00;0.059;-0.218;-0.951;0.209;0.000
1582889648854;VielberthGebaeude.1.148;721.00;856.00;0.062;-0.216;-0.951;0.211;0.000
1582889648864;VielberthGebaeude.1.148;721.00;856.00;0.064;-0.215;-0.952;0.207;0.000
1582889648874;VielberthGebaeude.1.148;721.00;856.00;0.066;-0.214;-0.952;0.207;0.000
1582889648885;VielberthGebaeude.1.148;721.00;856.00;0.067;-0.214;-0.953;0.204;0.000
1582889648894;VielberthGebaeude.1.148;721.00;856.00;0.067;-0.215;-0.953;0.203;0.000
1582889648904;VielberthGebaeude.1.148;721.00;856.00;0.066;-0.215;-0.953;0.203;0.000
1582889648914;VielberthGebaeude.1.148;721.00;856.00;0.066;-0.215;-0.953;0.202;0.000
1582889648924;VielberthGebaeude.1.148;721.00;856.00;0.066;-0.214;-0.953;0.203;0.000
1582889648934;VielberthGebaeude.1.148;721.00;856.00;0.065;-0.213;-0.953;0.204;0.000
1582889648944;VielberthGebaeude.1.148;721.00;856.00;0.063;-0.212;-0.954;0.203;0.000
1582889648954;VielberthGebaeude.1.148;721.00;856.00;0.060;-0.211;-0.954;0.205;0.000
1582889648964;VielberthGebaeude.1.148;721.00;856.00;0.055;-0.210;-0.954;0.204;0.000
1582889648974;VielberthGebaeude.1.148;721.00;856.00;0.051;-0.209;-0.955;0.206;0.000
1582889648984;VielberthGebaeude.1.148;721.00;856.00;0.045;-0.208;-0.955;0.205;0.000
1582889648994;VielberthGebaeude.1.148;721.00;856.00;0.040;-0.208;-0.955;0.206;0.000
1582889649004;VielberthGebaeude.1.148;721.00;856.00;0.035;-0.208;-0.955;0.207;0.000
1582889649014;VielberthGebaeude.1.148;721.00;856.00;0.031;-0.208;-0.955;0.209;0.000
1582889649024;VielberthGebaeude.1.148;721.00;856.00;0.026;-0.209;-0.955;0.209;0.000
1582889649034;VielberthGebaeude.1.148;721.00;856.00;0.022;-0.210;-0.955;0.210;0.000
1582889649044;VielberthGebaeude.1.148;721.00;856.00;0.018;-0.210;-0.954;0.211;0.000
1582889649055;VielberthGebaeude.1.148;721.00;856.00;0.015;-0.211;-0.954;0.213;0.000
1582889649064;VielberthGebaeude.1.148;721.00;856.00;0.012;-0.212;-0.953;0.216;0.000
1582889649074;VielberthGebaeude.1.148;721.00;856.00;0.010;-0.213;-0.952;0.218;0.000
1582889649085;VielberthGebaeude.1.148;721.00;856.00;0.007;-0.214;-0.952;0.221;0.000
1582889649096;VielberthGebaeude.1.148;721.00;856.00;0.004;-0.215;-0.951;0.223;0.000
1582889649105;VielberthGebaeude.1.148;721.00;856.00;0.001;-0.217;-0.950;0.225;0.000
1582889649115;VielberthGebaeude.1.148;721.00;856.00;-0.001;-0.218;-0.949;0.227;0.000
1582889649125;VielberthGebaeude.1.148;721.00;856.00;-0.003;-0.219;-0.949;0.227;0.000
1582889649135;VielberthGebaeude.1.148;721.00;856.00;-0.005;-0.221;-0.948;0.227;0.000
1582889649145;VielberthGebaeude.1.148;721.00;856.00;-0.006;-0.223;-0.948;0.227;0.000
1582889649155;VielberthGebaeude.1.148;721.00;856.00;-0.007;-0.226;-0.947;0.227;0.000
1582889649166;VielberthGebaeude.1.148;721.00;856.00;-0.006;-0.227;-0.947;0.227;0.000
1582889649175;VielberthGebaeude.1.148;721.00;856.00;-0.006;-0.228;-0.947;0.227;0.000
1582889649186;VielberthGebaeude.1.148;721.00;856.00;-0.006;-0.229;-0.947;0.227;0.000
1582889649195;VielberthGebaeude.1.148;721.00;856.00;-0.006;-0.230;-0.946;0.227;0.000
1582889649205;VielberthGebaeude.1.148;721.00;856.00;-0.005;-0.231;-0.946;0.227;0.000
1582889649216;VielberthGebaeude.1.148;721.00;856.00;-0.004;-0.232;-0.946;0.228;0.000
1582889649225;VielberthGebaeude.1.148;721.00;856.00;-0.003;-0.234;-0.945;0.228;0.000
1582889649235;VielberthGebaeude.1.148;721.00;856.00;-0.003;-0.237;-0.944;0.228;0.000
1582889649245;VielberthGebaeude.1.148;721.00;856.00;-0.002;-0.240;-0.944;0.228;0.000
1582889649255;VielberthGebaeude.1.148;721.00;856.00;-0.001;-0.242;-0.943;0.228;0.000
1582889649265;VielberthGebaeude.1.148;721.00;856.00;0.001;-0.245;-0.942;0.229;0.000
1582889649275;VielberthGebaeude.1.148;721.00;856.00;0.003;-0.246;-0.942;0.230;0.000
1582889649286;VielberthGebaeude.1.148;721.00;856.00;0.005;-0.248;-0.941;0.230;0.000
1582889649296;VielberthGebaeude.1.148;721.00;856.00;0.007;-0.249;-0.940;0.231;0.000
1582889649306;VielberthGebaeude.1.148;721.00;856.00;0.009;-0.252;-0.940;0.232;0.000
1582889649316;VielberthGebaeude.1.148;721.00;856.00;0.011;-0.254;-0.939;0.233;0.000
1582889649326;VielberthGebaeude.1.148;721.00;856.00;0.013;-0.257;-0.938;0.234;0.000
1582889649337;VielberthGebaeude.1.148;721.00;856.00;0.014;-0.261;-0.936;0.235;0.000
1582889649347;VielberthGebaeude.1.148;721.00;856.00;0.015;-0.264;-0.935;0.236;0.000
1582889649356;VielberthGebaeude.1.148;721.00;856.00;0.016;-0.266;-0.934;0.237;0.000
1582889649366;VielberthGebaeude.1.148;721.00;856.00;0.017;-0.267;-0.934;0.237;0.000
1582889649376;VielberthGebaeude.1.148;721.00;856.00;0.020;-0.267;-0.933;0.240;0.000
1582889649386;VielberthGebaeude.1.148;721.00;856.00;0.020;-0.266;-0.933;0.240;0.000
1582889649396;VielberthGebaeude.1.148;721.00;856.00;0.022;-0.265;-0.933;0.242;0.000
1582889649406;VielberthGebaeude.1.148;721.00;856.00;0.024;-0.263;-0.933;0.243;0.000
1582889649416;VielberthGebaeude.1.148;721.00;856.00;0.025;-0.262;-0.933;0.245;0.000
1582889649426;VielberthGebaeude.1.148;721.00;856.00;0.026;-0.261;-0.933;0.247;0.000
1582889649436;VielberthGebaeude.1.148;721.00;856.00;0.028;-0.261;-0.932;0.249;0.000
1582889649446;VielberthGebaeude.1.148;721.00;856.00;0.029;-0.263;-0.931;0.250;0.000
1582889649456;VielberthGebaeude.1.148;721.00;856.00;0.030;-0.264;-0.930;0.252;0.000
1582889649466;VielberthGebaeude.1.148;721.00;856.00;0.031;-0.270;-0.928;0.254;0.000
1582889649477;VielberthGebaeude.1.148;721.00;856.00;0.031;-0.269;-0.928;0.254;0.000
1582889649486;VielberthGebaeude.1.148;721.00;856.00;0.031;-0.271;-0.928;0.254;0.000
1582889649498;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.273;-0.927;0.255;0.000
1582889649507;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.274;-0.927;0.255;0.000
1582889649517;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.273;-0.927;0.256;0.000
1582889649527;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.272;-0.927;0.256;0.000
1582889649537;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.271;-0.927;0.257;0.000
1582889649547;VielberthGebaeude.1.148;721.00;856.00;0.031;-0.269;-0.928;0.256;0.000
1582889649557;VielberthGebaeude.1.148;721.00;856.00;0.031;-0.267;-0.928;0.257;0.000
1582889649568;VielberthGebaeude.1.148;721.00;856.00;0.030;-0.266;-0.929;0.256;0.000
1582889649578;VielberthGebaeude.1.148;721.00;856.00;0.030;-0.264;-0.929;0.257;0.000
1582889649587;VielberthGebaeude.1.148;721.00;856.00;0.030;-0.263;-0.929;0.257;0.000
1582889649597;VielberthGebaeude.1.148;721.00;856.00;0.030;-0.262;-0.929;0.258;0.000
1582889649608;VielberthGebaeude.1.148;721.00;856.00;0.030;-0.262;-0.929;0.258;0.000
1582889649617;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.261;-0.929;0.259;0.000
1582889649627;VielberthGebaeude.1.148;721.00;856.00;0.033;-0.261;-0.929;0.260;0.000
1582889649637;VielberthGebaeude.1.148;721.00;856.00;0.034;-0.261;-0.929;0.261;0.000
1582889649647;VielberthGebaeude.1.148;721.00;856.00;0.034;-0.262;-0.928;0.261;0.000
1582889649657;VielberthGebaeude.1.148;721.00;856.00;0.035;-0.262;-0.928;0.262;0.000
1582889649668;VielberthGebaeude.1.148;721.00;856.00;0.034;-0.262;-0.928;0.262;0.000
1582889649677;VielberthGebaeude.1.148;721.00;856.00;0.034;-0.263;-0.928;0.262;0.000
1582889649688;VielberthGebaeude.1.148;721.00;856.00;0.034;-0.263;-0.928;0.261;0.000
1582889649697;VielberthGebaeude.1.148;721.00;856.00;0.034;-0.264;-0.928;0.260;0.000
1582889649707;VielberthGebaeude.1.148;721.00;856.00;0.034;-0.265;-0.928;0.259;0.000
1582889649717;VielberthGebaeude.1.148;721.00;856.00;0.035;-0.266;-0.928;0.258;0.000
1582889649727;VielberthGebaeude.1.148;721.00;856.00;0.035;-0.267;-0.928;0.257;0.000
1582889649737;VielberthGebaeude.1.148;721.00;856.00;0.036;-0.268;-0.928;0.256;0.000
1582889649747;VielberthGebaeude.1.148;721.00;856.00;0.037;-0.269;-0.928;0.255;0.000
1582889649757;VielberthGebaeude.1.148;721.00;856.00;0.038;-0.269;-0.928;0.255;0.000
1582889649767;VielberthGebaeude.1.148;721.00;856.00;0.038;-0.270;-0.928;0.254;0.000
1582889649777;VielberthGebaeude.1.148;721.00;856.00;0.039;-0.271;-0.928;0.254;0.000
1582889649788;VielberthGebaeude.1.148;721.00;856.00;0.039;-0.273;-0.927;0.253;0.000
1582889649798;VielberthGebaeude.1.148;721.00;856.00;0.040;-0.274;-0.927;0.252;0.000
1582889649809;VielberthGebaeude.1.148;721.00;856.00;0.039;-0.275;-0.928;0.250;0.000
1582889649819;VielberthGebaeude.1.148;721.00;856.00;0.039;-0.275;-0.928;0.249;0.000
1582889649828;VielberthGebaeude.1.148;721.00;856.00;0.039;-0.276;-0.928;0.247;0.000
1582889649838;VielberthGebaeude.1.148;721.00;856.00;0.039;-0.276;-0.928;0.245;0.000
1582889649848;VielberthGebaeude.1.148;721.00;856.00;0.038;-0.277;-0.929;0.243;0.000
1582889649858;VielberthGebaeude.1.148;721.00;856.00;0.038;-0.278;-0.929;0.242;0.000
1582889649868;VielberthGebaeude.1.148;721.00;856.00;0.037;-0.279;-0.929;0.240;0.000
1582889649878;VielberthGebaeude.1.148;721.00;856.00;0.036;-0.279;-0.929;0.240;0.000
1582889649889;VielberthGebaeude.1.148;721.00;856.00;0.035;-0.279;-0.930;0.238;0.000
1582889649899;VielberthGebaeude.1.148;721.00;856.00;0.033;-0.279;-0.930;0.237;0.000
1582889649909;VielberthGebaeude.1.148;721.00;856.00;0.032;-0.279;-0.930;0.236;0.000
1582889649920;VielberthGebaeude.1.148;721.00;856.00;0.030;-0.279;-0.931;0.234;0.000
1582889649930;VielberthGebaeude.1.148;721.00;856.00;0.029;-0.279;-0.931;0.232;0.000
1582889649940;VielberthGebaeude.1.148;721.00;856.00;0.027;-0.280;-0.931;0.231;0.000
1582889649950;VielberthGebaeude.1.148;721.00;856.00;0.025;-0.282;-0.932;0.228;0.000
1582889649960;VielberthGebaeude.1.148;721.00;856.00;0.024;-0.284;-0.932;0.226;0.000
1582889649970;VielberthGebaeude.1.148;721.00;856.00;0.022;-0.285;-0.932;0.224;0.000
1582889649980;VielberthGebaeude.1.148;721.00;856.00;0.021;-0.287;-0.932;0.222;0.000
1582889649990;VielberthGebaeude.1.148;721.00;856.00;0.020;-0.288;-0.932;0.221;0.000
1582889650000;VielberthGebaeude.1.148;721.00;856.00;0.020;-0.288;-0.932;0.220;0.000
1582889650010;VielberthGebaeude.1.148;721.00;856.00;0.018;-0.287;-0.932;0.219;0.000
1582889650021;VielberthGebaeude.1.148;721.00;856.00;0.017;-0.285;-0.933;0.218;0.000
1582889650030;VielberthGebaeude.1.148;721.00;856.00;0.015;-0.283;-0.934;0.217;0.000
1582889650041;VielberthGebaeude.1.148;721.00;856.00;0.013;-0.280;-0.935;0.217;0.000
1582889650050;VielberthGebaeude.1.148;721.00;856.00;0.011;-0.277;-0.936;0.216;0.000
1582889650061;VielberthGebaeude.1.148;721.00;856.00;0.009;-0.274;-0.937;0.216;0.000
1582889650071;VielberthGebaeude.1.148;721.00;856.00;0.007;-0.272;-0.938;0.215;0.000
1582889650081;VielberthGebaeude.1.148;721.00;856.00;0.005;-0.271;-0.938;0.215;0.000
1582889650092;VielberthGebaeude.1.148;721.00;856.00;0.005;-0.271;-0.938;0.215;0.000
1582889650103;VielberthGebaeude.1.148;721.00;856.00;0.004;-0.272;-0.938;0.215;0.000
1582889650112;VielberthGebaeude.1.148;721.00;856.00;0.003;-0.273;-0.938;0.215;0.000
1582889650122;VielberthGebaeude.1.148;721.00;856.00;0.002;-0.274;-0.937;0.215;0.000
1582889650132;VielberthGebaeude.1.148;721.00;856.00;0.001;-0.275;-0.937;0.215;0.000
1582889650142;VielberthGebaeude.1.148;721.00;856.00;0.000;-0.277;-0.937;0.214;0.000
1582889650154;VielberthGebaeude.1.148;721.00;856.00;0.000;-0.278;-0.937;0.213;0.000
1582889650163;VielberthGebaeude.1.148;721.00;856.00;0.000;-0.278;-0.937;0.212;0.000
1582889650173;VielberthGebaeude.1.148;721.00;856.00;0.000;-0.278;-0.937;0.210;0.000
1582889650183;VielberthGebaeude.1.148;721.00;856.00;0.001;-0.278;-0.938;0.209;0.000
1582889650193;VielberthGebaeude.1.148;721.00;856.00;0.001;-0.277;-0.938;0.207;0.000
1582889650203;VielberthGebaeude.1.148;721.00;856.00;0.002;-0.277;-0.939;0.206;0.000
1582889650214;VielberthGebaeude.1.148;721.00;856.00;0.002;-0.277;-0.939;0.204;0.000
1582889650224;VielberthGebaeude.1.148;721.00;856.00;0.003;-0.278;-0.939;0.202;0.000
1582889650234;VielberthGebaeude.1.148;721.00;856.00;0.003;-0.278;-0.939;0.201;0.000
1582889650244;VielberthGebaeude.1.148;721.00;856.00;0.004;-0.279;-0.939;0.199;0.000
1582889650254;VielberthGebaeude.1.148;721.00;856.00;0.004;-0.280;-0.939;0.198;0.000
1582889650264;VielberthGebaeude.1.148;721.00;856.00;0.005;-0.280;-0.940;0.197;0.000
1582889650274;VielberthGebaeude.1.148;721.00;856.00;0.006;-0.280;-0.940;0.196;0.000
1582889650284;VielberthGebaeude.1.148;721.00;856.00;0.007;-0.280;-0.940;0.195;0.000
1582889650294;VielberthGebaeude.1.148;721.00;856.00;0.008;-0.279;-0.940;0.194;0.000
1582889650305;VielberthGebaeude.1.148;721.00;856.00;0.009;-0.279;-0.940;0.194;0.000
1582889650314;VielberthGebaeude.1.148;721.00;856.00;0.011;-0.279;-0.940;0.194;0.000
1582889650324;VielberthGebaeude.1.148;721.00;856.00;0.012;-0.280;-0.940;0.193;0.000
1582889650335;VielberthGebaeude.1.148;721.00;856.00;0.012;-0.280;-0.940;0.193;0.000
1582889650344;VielberthGebaeude.1.148;721.00;856.00;0.012;-0.281;-0.940;0.193;0.000
1582889650354;VielberthGebaeude.1.148;721.00;856.00;0.013;-0.281;-0.940;0.192;0.000
1582889650364;VielberthGebaeude.1.148;721.00;856.00;0.014;-0.282;-0.940;0.192;0.000
1582889650374;VielberthGebaeude.1.148;721.00;856.00;0.015;-0.282;-0.940;0.192;0.000
1582889650384;VielberthGebaeude.1.148;721.00;856.00;0.016;-0.283;-0.940;0.192;0.000
1582889650394;VielberthGebaeude.1.148;721.00;856.00;0.017;-0.283;-0.940;0.192;0.000
1582889650405;VielberthGebaeude.1.148;721.00;856.00;0.018;-0.283;-0.939;0.192;0.000
1582889650414;VielberthGebaeude.1.148;721.00;856.00;0.019;-0.286;-0.939;0.192;0.000
1582889650424;VielberthGebaeude.1.148;721.00;856.00;0.020;-0.288;-0.938;0.191;0.000
1582889650435;VielberthGebaeude.1.148;721.00;856.00;0.021;-0.290;-0.938;0.191;0.000
1582889650445;VielberthGebaeude.1.148;721.00;856.00;0.022;-0.291;-0.937;0.191;0.000
1582889650456;VielberthGebaeude.1.148;721.00;856.00;0.023;-0.292;-0.937;0.190;0.000
1582889650467;VielberthGebaeude.1.148;721.00;856.00;0.024;-0.291;-0.937;0.191;0.000
1582889650477;VielberthGebaeude.1.148;721.00;856.00;0.025;-0.291;-0.937;0.191;0.000
1582889650486;VielberthGebaeude.1.148;721.00;856.00;0.026;-0.291;-0.937;0.193;0.000
1582889650496;VielberthGebaeude.1.148;721.00;856.00;0.026;-0.291;-0.937;0.193;0.000
1582889650506;VielberthGebaeude.1.148;721.00;856.00;0.027;-0.292;-0.936;0.194;0.000
1582889650516;VielberthGebaeude.1.148;721.00;856.00;0.027;-0.293;-0.936;0.194;0.000
